REGION,TECHNOLOGY,VALUE
RE1,DEMTERELCOTH_MID,1.0
RE1,DEMTERELCOTH_HIG,1.0
RE1,DEMTERELCBOI_HIG,1.0
RE1,DEMTERELCMPW_HIG,1.0
RE1,DEMTRADSLBOT,1.0
RE1,DEMTRAELCBOT,1.0
RE1,DEMTRAFOLSHP,1.0
RE1,DEMINDNGSBOI_HIG,1.0
RE1,DEMINDNGSBOI_LOW,1.0
RE1,DEMINDNGSBOI_MID,1.0
RE1,DEMINDNGSFUR_HIG,1.0
RE1,DEMINDNGSFURCSS,1.0
RE1,DEMINDNGSFUR_MID,1.0
RE1,DEMTRADSLBUS_URB,1.0
RE1,DEMTRANGSBUS_URB,1.0
RE1,DEMTRAELCBUS_URB,1.0
RE1,DEMTRAHDGBUS_URB,1.0
RE1,UPSBMET,1.0
RE1,UPSBMETL,1.0
RE1,DEMTRADSLTCK_C2P,1.0
RE1,DEMTRAELCTCK_C2P,1.0
RE1,DEMTRANGSTCK_C2P,1.0
RE1,DEMAGFNGS,1.0
RE1,DEMAGFDSL,1.0
RE1,DEMAGFGSL,1.0
RE1,DEMRESWOOCKN_LOW_RUR,1.0
RE1,DEMRESNGSCKN_MID_RUR,1.0
RE1,DEMRESELCCKN_LOW_RUR,1.0
RE1,DEMRESLPGCKN_LOW_RUR,1.0
RE1,DEMRESNGSWHT_LOW_RUR,1.0
RE1,DEMRESELCWHT_PAS_HIG_RUR,1.0
RE1,DEMRESELCREF_LOW_RUR,1.0
RE1,DEMRESELCREF_HIG_RUR,1.0
RE1,DEMRESELCILU_LOW_RUR,1.0
RE1,DEMRESELCILU_HIG_RUR,1.0
RE1,DEMRESELCAIR_SPL_LOW_RUR,1.0
RE1,DEMRESELCAIR_PAR_LOW_RUR,1.0
RE1,DEMRESELCTV_LOW_RUR,1.0
RE1,DEMRESELCTV_MID_RUR,1.0
RE1,DEMRESELCWSH_LOW_RUR,1.0
RE1,DEMRESELCWSH_HIG_RUR,1.0
RE1,DEMRESELCFAN_LOW_RUR,1.0
RE1,DEMRESELCFAN_HIG_RUR,1.0
RE1,DEMRESELCOTH_LOW_RUR,1.0
RE1,DEMRESELCREF_MID_RUR,1.0
RE1,DEMRESELCWSH_MID_RUR,1.0
RE1,DEMRESELCCKN_HIG_RUR,1.0
RE1,DEMRESELCCKN_MID_RUR,1.0
RE1,DEMRESNGSCKN_LOW_RUR,1.0
RE1,DEMRESNGSCKN_HIG_RUR,1.0
RE1,DEMRESWOOCKN_MID_RUR,1.0
RE1,DEMRESELCFAN_MID_RUR,1.0
RE1,DEMRESLPGCKN_MID_RUR,1.0
RE1,DEMRESNGSWHT_MID_RUR,1.0
RE1,DEMRESELCWHT_TAN_LOW_RUR,1.0
RE1,DEMRESELCWHT_TAN_MID_RUR,1.0
RE1,DEMRESELCWHT_PAS_LOW_RUR,1.0
RE1,DEMRESELCWHT_PAS_MID_RUR,1.0
RE1,DEMRESELCWHT_DUC_LOW_RUR,1.0
RE1,DEMRESELCWHT_DUC_MID_RUR,1.0
RE1,DEMRESELCTV_CRT_RUR,1.0
RE1,DEMRESELCILU_INC_RUR,1.0
RE1,DEMRESELCILU_LFC_RUR,1.0
RE1,DEMRESELCILU_MID_RUR,1.0
RE1,DEMRESELCOTH_MID_RUR,1.0
RE1,DEMRESELCOTH_HIG_RUR,1.0
RE1,DEMRESELCAIR_SPL_MID_RUR,1.0
RE1,DEMRESELCAIR_PAR_MID_RUR,1.0
RE1,DEMRESWOOCKN_HIG_RUR,1.0
RE1,DEMRESLPGCKN_HIG_RUR,1.0
RE1,DEMRESNGSWHT_HIG_RUR,1.0
RE1,DEMRESELCWHT_TAN_HIG_RUR,1.0
RE1,DEMRESELCWHT_DUC_HIG_RUR,1.0
RE1,DEMRESELCAIR_SPL_HIG_RUR,1.0
RE1,DEMRESELCAIR_PAR_HIG_RUR,1.0
RE1,DEMRESELCTV_HIG_RUR,1.0
RE1,DEMTERELCILU_MID,1.0
RE1,DEMINDHDGBOI_HIG,1.0
RE1,DEMINDWASFUR_LOW,1.0
RE1,DEMINDWASFUR_MID,1.0
RE1,DEMINDWASFUR_HIG,1.0
RE1,DEMINDAUTFUR,1.0
RE1,DEMINDWASBOI_LOW,1.0
RE1,DEMINDAUTBOI,1.0
RE1,DEMINDWASBOI_MID,1.0
RE1,DEMINDWASBOI_HIG,1.0
RE1,PWRNGS_CC,1.0
RE1,PWRDSL,1.0
RE1,PWRJET,1.0
RE1,PWRLPG,1.0
RE1,PWRFOIL,1.0
RE1,PWRHYDROR_NDC,1.0
RE1,MINWAS_ORG,1.0
RE1,DEMTRAJETSAFAVI,1.0
RE1,UPSSAF,1.0
RE1,UPSBJS,1.0
RE1,UPSEV_FC,1.0
