REGION,TECHNOLOGY,VALUE
RE1,DEMINDHDGBOI_LOW,99999.0
RE1,DEMINDLPGBOI_HIG,99999.0
RE1,DEMINDLPGBOI_LOW,99999.0
RE1,DEMINDLPGBOI_MID,99999.0
RE1,DEMINDLPGFUR_HIG,99999.0
RE1,DEMINDLPGFUR_LOW,99999.0
RE1,DEMINDLPGFUR_MID,99999.0
RE1,DEMRESNGSWHT_HIG,99999.0
RE1,DEMRESELCWHT_TAN_HIG,99999.0
RE1,DEMRESELCWHT_DUC_HIG,99999.0
RE1,DEMRESELCAIR_SPL_HIG,99999.0
RE1,DEMRESELCAIR_PAR_HIG,99999.0
RE1,DEMRESELCTV_HIG,99999.0
RE1,DEMTERELCOTH_MID,99999.0
RE1,DEMTERELCOTH_HIG,99999.0
RE1,DEMTERELCBOI_HIG,99999.0
RE1,DEMTERELCMPW_HIG,99999.0
RE1,DEMTRADSLBOT,99999.0
RE1,DEMTRAELCBOT,99999.0
RE1,DEMTRAFOLSHP,99999.0
RE1,DEMINDNGSBOI_HIG,99999.0
RE1,DEMINDNGSBOI_LOW,99999.0
RE1,DEMINDNGSBOI_MID,99999.0
RE1,DEMINDNGSFUR_HIG,99999.0
RE1,DEMINDNGSFURCSS,99999.0
RE1,DEMINDNGSFUR_MID,99999.0
RE1,DEMTRADSLBUS_URB,99999.0
RE1,DEMTRANGSBUS_URB,99999.0
RE1,DEMTRAELCBUS_URB,99999.0
RE1,DEMTRAHDGBUS_URB,99999.0
RE1,UPSBMET,99999.0
RE1,UPSBMETL,99999.0
RE1,DEMTRADSLTCK_C2P,99999.0
RE1,DEMTRAELCTCK_C2P,99999.0
RE1,DEMTRANGSTCK_C2P,99999.0
RE1,DEMAGFNGS,99999.0
RE1,DEMAGFDSL,99999.0
RE1,DEMAGFGSL,99999.0
RE1,DEMRESWOOCKN_LOW_RUR,99999.0
RE1,DEMRESNGSCKN_MID_RUR,99999.0
RE1,DEMRESELCCKN_LOW_RUR,99999.0
RE1,DEMRESLPGCKN_LOW_RUR,99999.0
RE1,DEMRESNGSWHT_LOW_RUR,99999.0
RE1,DEMRESELCWHT_PAS_HIG_RUR,99999.0
RE1,DEMRESELCREF_LOW_RUR,99999.0
RE1,DEMRESELCREF_HIG_RUR,99999.0
RE1,DEMRESELCILU_LOW_RUR,99999.0
RE1,DEMRESELCILU_HIG_RUR,99999.0
RE1,DEMRESELCAIR_SPL_LOW_RUR,99999.0
RE1,DEMRESELCAIR_PAR_LOW_RUR,99999.0
RE1,DEMRESELCTV_LOW_RUR,99999.0
RE1,DEMRESELCTV_MID_RUR,99999.0
RE1,DEMRESELCWSH_LOW_RUR,99999.0
RE1,DEMRESELCWSH_HIG_RUR,99999.0
RE1,DEMRESELCFAN_LOW_RUR,99999.0
RE1,DEMRESELCFAN_HIG_RUR,99999.0
RE1,DEMRESELCOTH_LOW_RUR,99999.0
RE1,DEMRESELCREF_MID_RUR,99999.0
RE1,DEMRESELCWSH_MID_RUR,99999.0
RE1,DEMRESELCCKN_HIG_RUR,99999.0
RE1,DEMRESELCCKN_MID_RUR,99999.0
RE1,DEMRESNGSCKN_LOW_RUR,99999.0
RE1,DEMRESNGSCKN_HIG_RUR,99999.0
RE1,DEMRESWOOCKN_MID_RUR,99999.0
RE1,DEMRESELCFAN_MID_RUR,99999.0
RE1,DEMRESLPGCKN_MID_RUR,99999.0
RE1,DEMRESNGSWHT_MID_RUR,99999.0
RE1,DEMRESELCWHT_TAN_LOW_RUR,99999.0
RE1,DEMRESELCWHT_TAN_MID_RUR,99999.0
RE1,DEMRESELCWHT_PAS_LOW_RUR,99999.0
RE1,DEMRESELCWHT_PAS_MID_RUR,99999.0
RE1,DEMRESELCWHT_DUC_LOW_RUR,99999.0
RE1,DEMRESELCWHT_DUC_MID_RUR,99999.0
RE1,DEMRESELCTV_CRT_RUR,99999.0
RE1,DEMRESELCILU_INC_RUR,99999.0
