REGION,FUEL,YEAR,VALUE
RE1,INDIHT,2043,0.0
RE1,INDIHT,2044,0.0
RE1,INDIHT,2045,0.0
RE1,INDIHT,2046,0.0
RE1,INDIHT,2047,0.0
RE1,INDIHT,2048,0.0
RE1,INDIHT,2049,0.0
RE1,INDIHT,2050,0.0
RE1,INDIHT,2051,0.0
RE1,INDIHT,2052,0.0
RE1,INDIHT,2053,0.0
RE1,INDIHT,2054,0.0
RE1,INDMPW,2022,0.0
RE1,INDMPW,2023,0.0
RE1,INDMPW,2024,0.0
RE1,INDMPW,2025,0.0
RE1,INDMPW,2026,0.0
RE1,INDMPW,2027,0.0
RE1,INDMPW,2028,0.0
RE1,INDMPW,2029,0.0
RE1,INDMPW,2030,0.0
RE1,INDMPW,2031,0.0
RE1,INDMPW,2032,0.0
RE1,INDMPW,2033,0.0
RE1,INDMPW,2034,0.0
RE1,INDMPW,2035,0.0
RE1,INDMPW,2036,0.0
RE1,INDMPW,2037,0.0
RE1,INDMPW,2038,0.0
RE1,INDMPW,2039,0.0
RE1,INDMPW,2040,0.0
RE1,INDMPW,2041,0.0
RE1,INDMPW,2042,0.0
RE1,INDMPW,2043,0.0
RE1,INDMPW,2044,0.0
RE1,INDMPW,2045,0.0
RE1,INDMPW,2046,0.0
RE1,INDMPW,2047,0.0
RE1,INDMPW,2048,0.0
RE1,INDMPW,2049,0.0
RE1,INDMPW,2050,0.0
RE1,INDMPW,2051,0.0
RE1,INDMPW,2052,0.0
RE1,INDMPW,2053,0.0
RE1,INDMPW,2054,0.0
RE1,INDILU,2022,0.0
RE1,INDILU,2023,0.0
RE1,INDILU,2024,0.0
RE1,INDILU,2025,0.0
RE1,INDILU,2026,0.0
RE1,INDILU,2027,0.0
RE1,INDILU,2028,0.0
RE1,INDILU,2029,0.0
RE1,INDILU,2030,0.0
RE1,INDILU,2031,0.0
RE1,INDILU,2032,0.0
RE1,INDILU,2033,0.0
RE1,INDILU,2034,0.0
RE1,INDILU,2035,0.0
RE1,INDILU,2036,0.0
RE1,INDILU,2037,0.0
RE1,INDILU,2038,0.0
RE1,INDILU,2039,0.0
RE1,INDILU,2040,0.0
RE1,INDILU,2041,0.0
RE1,INDILU,2042,0.0
RE1,INDILU,2043,0.0
RE1,INDILU,2044,0.0
RE1,INDILU,2045,0.0
RE1,INDILU,2046,0.0
RE1,INDILU,2047,0.0
RE1,INDILU,2048,0.0
RE1,INDILU,2049,0.0
RE1,INDILU,2050,0.0
RE1,INDILU,2051,0.0
RE1,INDILU,2052,0.0
RE1,INDILU,2053,0.0
RE1,INDILU,2054,0.0
RE1,INDOTH,2022,0.0
RE1,INDOTH,2023,0.0
RE1,INDOTH,2024,0.0
RE1,INDOTH,2025,0.0
RE1,INDOTH,2026,0.0
RE1,INDOTH,2027,0.0
RE1,INDOTH,2028,0.0
RE1,INDOTH,2029,0.0
RE1,INDOTH,2030,0.0
RE1,INDOTH,2031,0.0
RE1,INDOTH,2032,0.0
RE1,INDOTH,2033,0.0
RE1,INDOTH,2034,0.0
RE1,INDOTH,2035,0.0
RE1,INDOTH,2036,0.0
RE1,INDOTH,2037,0.0
RE1,INDOTH,2038,0.0
RE1,INDOTH,2039,0.0
RE1,INDOTH,2040,0.0
RE1,INDOTH,2041,0.0
RE1,INDOTH,2042,0.0
RE1,INDOTH,2043,0.0
RE1,INDOTH,2044,0.0
RE1,INDOTH,2045,0.0
RE1,INDOTH,2046,0.0
RE1,INDOTH,2047,0.0
RE1,INDOTH,2048,0.0
RE1,INDOTH,2049,0.0
RE1,INDOTH,2050,0.0
RE1,INDOTH,2051,0.0
RE1,INDOTH,2052,0.0
RE1,INDOTH,2053,0.0
RE1,INDOTH,2054,0.0
RE1,TERDHT,2022,0.0
RE1,TERDHT,2023,0.0
RE1,TERDHT,2024,0.0
RE1,TERDHT,2025,0.0
RE1,TERDHT,2026,0.0
RE1,TERDHT,2027,0.0
RE1,TERDHT,2028,0.0
RE1,TERDHT,2029,0.0
RE1,TERDHT,2030,0.0
RE1,TERDHT,2031,0.0
RE1,TERDHT,2032,0.0
RE1,TERDHT,2033,0.0
RE1,TERDHT,2034,0.0
RE1,TERDHT,2035,0.0
RE1,TERDHT,2036,0.0
RE1,TERDHT,2037,0.0
RE1,TERDHT,2038,0.0
RE1,TERDHT,2039,0.0
RE1,TERDHT,2040,0.0
RE1,TERDHT,2041,0.0
RE1,TERDHT,2042,0.0
RE1,TERDHT,2043,0.0
RE1,TERDHT,2044,0.0
RE1,TERDHT,2045,0.0
RE1,TERDHT,2046,0.0
RE1,TERDHT,2047,0.0
RE1,TERDHT,2048,0.0
RE1,TERDHT,2049,0.0
RE1,TERDHT,2050,0.0
RE1,TERDHT,2051,0.0
RE1,TERDHT,2052,0.0
RE1,TERDHT,2053,0.0
RE1,TERDHT,2054,0.0
RE1,TERIHT,2022,0.0
RE1,TERIHT,2023,0.0
RE1,TERIHT,2024,0.0
RE1,TERIHT,2025,0.0
RE1,TERIHT,2026,0.0
RE1,TERIHT,2027,0.0
RE1,TERIHT,2028,0.0
RE1,TERIHT,2029,0.0
RE1,TERIHT,2030,0.0
RE1,TERIHT,2031,0.0
RE1,TERIHT,2032,0.0
RE1,TERIHT,2033,0.0
RE1,TERIHT,2034,0.0
RE1,TERIHT,2035,0.0
RE1,TERIHT,2036,0.0
RE1,TERIHT,2037,0.0
RE1,TERIHT,2038,0.0
RE1,TERIHT,2039,0.0
RE1,TERIHT,2040,0.0
RE1,TERIHT,2041,0.0
RE1,TERIHT,2042,0.0
RE1,TERIHT,2043,0.0
RE1,TERIHT,2044,0.0
RE1,TERIHT,2045,0.0
RE1,TERIHT,2046,0.0
RE1,TERIHT,2047,0.0
RE1,TERIHT,2048,0.0
RE1,TERIHT,2049,0.0
RE1,TERIHT,2050,0.0
RE1,TERIHT,2051,0.0
RE1,TERIHT,2052,0.0
RE1,TERIHT,2053,0.0
RE1,TERIHT,2054,0.0
RE1,TERMPW,2022,0.0
RE1,TERMPW,2023,0.0
RE1,TERMPW,2024,0.0
RE1,TERMPW,2025,0.0
RE1,TERMPW,2026,0.0
RE1,TERMPW,2027,0.0
RE1,TERMPW,2028,0.0
RE1,TERMPW,2029,0.0
RE1,TERMPW,2030,0.0
RE1,TERMPW,2031,0.0
RE1,TERMPW,2032,0.0
RE1,TERMPW,2033,0.0
RE1,TERMPW,2034,0.0
RE1,TERMPW,2035,0.0
RE1,TERMPW,2036,0.0
RE1,TERMPW,2037,0.0
RE1,TERMPW,2038,0.0
RE1,TERMPW,2039,0.0
RE1,TERMPW,2040,0.0
RE1,TERMPW,2041,0.0
RE1,TERMPW,2042,0.0
RE1,TERMPW,2043,0.0
RE1,TERMPW,2044,0.0
RE1,TERMPW,2045,0.0
RE1,TERMPW,2046,0.0
RE1,TERMPW,2047,0.0
RE1,TERMPW,2048,0.0
RE1,TERMPW,2049,0.0
RE1,TERMPW,2050,0.0
RE1,TERMPW,2051,0.0
RE1,TERMPW,2052,0.0
RE1,TERMPW,2053,0.0
RE1,TERMPW,2054,0.0
RE1,TERREF,2022,0.0
RE1,TERREF,2023,0.0
RE1,TERREF,2024,0.0
RE1,TERREF,2025,0.0
RE1,TERREF,2026,0.0
RE1,TERREF,2027,0.0
RE1,TERREF,2028,0.0
RE1,TERREF,2029,0.0
RE1,TERREF,2030,0.0
RE1,TERREF,2031,0.0
RE1,TERREF,2032,0.0
RE1,TERREF,2033,0.0
RE1,TERREF,2034,0.0
RE1,TERREF,2035,0.0
RE1,TERREF,2036,0.0
RE1,TERREF,2037,0.0
RE1,TERREF,2038,0.0
RE1,TERREF,2039,0.0
RE1,TERREF,2040,0.0
RE1,TERREF,2041,0.0
RE1,TERREF,2042,0.0
RE1,TERREF,2043,0.0
RE1,TERREF,2044,0.0
RE1,TERREF,2045,0.0
RE1,TERREF,2046,0.0
RE1,TERREF,2047,0.0
RE1,TERREF,2048,0.0
RE1,TERREF,2049,0.0
RE1,TERREF,2050,0.0
RE1,TERREF,2051,0.0
RE1,TERREF,2052,0.0
RE1,TERREF,2053,0.0
RE1,TERREF,2054,0.0
RE1,TEROTH,2022,0.0
RE1,TEROTH,2023,0.0
RE1,TEROTH,2024,0.0
RE1,TEROTH,2025,0.0
RE1,TEROTH,2026,0.0
RE1,TEROTH,2027,0.0
RE1,TEROTH,2028,0.0
RE1,TEROTH,2029,0.0
RE1,TEROTH,2030,0.0
RE1,TEROTH,2031,0.0
RE1,TEROTH,2032,0.0
RE1,TEROTH,2033,0.0
RE1,TEROTH,2034,0.0
RE1,TEROTH,2035,0.0
RE1,TEROTH,2036,0.0
RE1,TEROTH,2037,0.0
RE1,TEROTH,2038,0.0
RE1,TEROTH,2039,0.0
RE1,TEROTH,2040,0.0
RE1,TEROTH,2041,0.0
RE1,TEROTH,2042,0.0
RE1,TEROTH,2043,0.0
RE1,TEROTH,2044,0.0
RE1,TEROTH,2045,0.0
RE1,TEROTH,2046,0.0
RE1,TEROTH,2047,0.0
RE1,TEROTH,2048,0.0
RE1,TEROTH,2049,0.0
RE1,TEROTH,2050,0.0
RE1,TEROTH,2051,0.0
RE1,TEROTH,2052,0.0
RE1,TEROTH,2053,0.0
RE1,TEROTH,2054,0.0
RE1,RESDHT_URB,2022,0.0
RE1,RESDHT_URB,2023,0.0
RE1,RESDHT_URB,2024,0.0
RE1,RESDHT_URB,2025,0.0
RE1,RESDHT_URB,2026,0.0
RE1,RESDHT_URB,2027,0.0
RE1,RESDHT_URB,2028,0.0
RE1,RESDHT_URB,2029,0.0
RE1,RESDHT_URB,2030,0.0
RE1,RESDHT_URB,2031,0.0
RE1,RESDHT_URB,2032,0.0
RE1,RESDHT_URB,2033,0.0
RE1,RESDHT_URB,2034,0.0
RE1,RESDHT_URB,2035,0.0
RE1,RESDHT_URB,2036,0.0
RE1,RESDHT_URB,2037,0.0
RE1,RESDHT_URB,2038,0.0
RE1,RESDHT_URB,2039,0.0
RE1,RESDHT_URB,2040,0.0
RE1,RESDHT_URB,2041,0.0
RE1,RESDHT_URB,2042,0.0
RE1,RESDHT_URB,2043,0.0
RE1,RESDHT_URB,2044,0.0
RE1,RESDHT_URB,2045,0.0
RE1,RESDHT_URB,2046,0.0
RE1,RESDHT_URB,2047,0.0
RE1,RESDHT_URB,2048,0.0
RE1,RESDHT_URB,2049,0.0
RE1,RESDHT_URB,2050,0.0
RE1,RESDHT_URB,2051,0.0
RE1,RESDHT_URB,2052,0.0
RE1,RESDHT_URB,2053,0.0
RE1,RESDHT_URB,2054,0.0
RE1,RESWHT_URB,2022,0.0
RE1,RESWHT_URB,2023,0.0
RE1,RESWHT_URB,2024,0.0
RE1,RESWHT_URB,2025,0.0
RE1,RESWHT_URB,2026,0.0
RE1,RESWHT_URB,2027,0.0
RE1,RESWHT_URB,2028,0.0
RE1,RESWHT_URB,2029,0.0
RE1,RESWHT_URB,2030,0.0
RE1,RESWHT_URB,2031,0.0
RE1,RESWHT_URB,2032,0.0
RE1,RESWHT_URB,2033,0.0
RE1,RESWHT_URB,2034,0.0
RE1,RESWHT_URB,2035,0.0
RE1,RESWHT_URB,2036,0.0
RE1,RESWHT_URB,2037,0.0
RE1,RESWHT_URB,2038,0.0
RE1,RESWHT_URB,2039,0.0
RE1,RESWHT_URB,2040,0.0
RE1,RESWHT_URB,2041,0.0
RE1,RESWHT_URB,2042,0.0
RE1,RESWHT_URB,2043,0.0
RE1,RESWHT_URB,2044,0.0
RE1,RESWHT_URB,2045,0.0
RE1,RESWHT_URB,2046,0.0
RE1,RESWHT_URB,2047,0.0
RE1,RESWHT_URB,2048,0.0
RE1,RESWHT_URB,2049,0.0
RE1,RESWHT_URB,2050,0.0
RE1,RESWHT_URB,2051,0.0
RE1,RESWHT_URB,2052,0.0
RE1,RESWHT_URB,2053,0.0
RE1,RESWHT_URB,2054,0.0
RE1,RESWSH_URB,2022,0.0
RE1,RESWSH_URB,2023,0.0
RE1,RESWSH_URB,2024,0.0
RE1,RESWSH_URB,2025,0.0
RE1,RESWSH_URB,2026,0.0
RE1,RESWSH_URB,2027,0.0
RE1,RESWSH_URB,2028,0.0
RE1,RESWSH_URB,2029,0.0
RE1,RESWSH_URB,2030,0.0
RE1,RESWSH_URB,2031,0.0
