REGION,TECHNOLOGY,VALUE
RE1,DEMINDNGSBOI_LOW,25.0
RE1,DEMINDNGSBOI_MID,25.0
RE1,DEMINDNGSFUR_HIG,25.0
RE1,DEMINDNGSFURCSS,25.0
RE1,DEMINDNGSFUR_MID,25.0
RE1,DEMTRADSLBUS_URB,32.0
RE1,DEMTRANGSBUS_URB,32.0
RE1,DEMTRAELCBUS_URB,32.0
RE1,DEMTRAHDGBUS_URB,32.0
RE1,UPSBMET,20.0
RE1,UPSBMETL,20.0
RE1,DEMTRADSLTCK_C2P,34.0
RE1,DEMTRAELCTCK_C2P,34.0
RE1,DEMTRANGSTCK_C2P,34.0
RE1,DEMAGFNGS,40.0
RE1,DEMAGFDSL,40.0
RE1,DEMAGFGSL,40.0
RE1,DEMRESWOOCKN_LOW_RUR,20.0
RE1,DEMRESNGSCKN_MID_RUR,15.0
RE1,DEMRESELCCKN_LOW_RUR,15.0
RE1,DEMRESLPGCKN_LOW_RUR,15.0
RE1,DEMRESNGSWHT_LOW_RUR,10.0
RE1,DEMRESELCWHT_PAS_HIG_RUR,10.0
RE1,DEMRESELCREF_LOW_RUR,7.0
RE1,DEMRESELCREF_HIG_RUR,7.0
RE1,DEMRESELCILU_LOW_RUR,7.0
RE1,DEMRESELCILU_HIG_RUR,7.0
RE1,DEMRESELCAIR_SPL_LOW_RUR,10.0
RE1,DEMRESELCAIR_PAR_LOW_RUR,20.0
RE1,DEMRESELCTV_LOW_RUR,5.0
RE1,DEMRESELCTV_MID_RUR,5.0
RE1,DEMRESELCWSH_LOW_RUR,5.0
RE1,DEMRESELCWSH_HIG_RUR,5.0
RE1,DEMRESELCFAN_LOW_RUR,8.0
RE1,DEMRESELCFAN_HIG_RUR,8.0
RE1,DEMRESELCOTH_LOW_RUR,5.0
RE1,DEMRESELCREF_MID_RUR,7.0
RE1,DEMRESELCWSH_MID_RUR,5.0
RE1,DEMRESELCCKN_HIG_RUR,15.0
RE1,DEMRESELCCKN_MID_RUR,15.0
RE1,DEMRESNGSCKN_LOW_RUR,15.0
RE1,DEMRESNGSCKN_HIG_RUR,15.0
RE1,DEMRESWOOCKN_MID_RUR,20.0
RE1,DEMRESELCFAN_MID_RUR,8.0
RE1,DEMRESLPGCKN_MID_RUR,15.0
RE1,DEMRESNGSWHT_MID_RUR,10.0
RE1,DEMRESELCWHT_TAN_LOW_RUR,10.0
RE1,DEMRESELCWHT_TAN_MID_RUR,10.0
RE1,DEMRESELCWHT_PAS_LOW_RUR,10.0
RE1,DEMRESELCWHT_PAS_MID_RUR,10.0
RE1,DEMRESELCWHT_DUC_LOW_RUR,3.0
RE1,DEMRESELCWHT_DUC_MID_RUR,3.0
RE1,DEMRESELCTV_CRT_RUR,5.0
RE1,DEMRESELCILU_INC_RUR,7.0
RE1,DEMRESELCILU_LFC_RUR,7.0
RE1,DEMRESELCILU_MID_RUR,7.0
RE1,DEMRESELCOTH_MID_RUR,5.0
RE1,DEMRESELCOTH_HIG_RUR,5.0
RE1,DEMRESELCAIR_SPL_MID_RUR,10.0
RE1,DEMRESELCAIR_PAR_MID_RUR,20.0
RE1,DEMRESWOOCKN_HIG_RUR,20.0
RE1,DEMRESLPGCKN_HIG_RUR,15.0
RE1,DEMRESNGSWHT_HIG_RUR,10.0
